"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 28 23:00:48 GMT 2023","Tue Feb 28 23:00:49 GMT 2023","1375","chromium","spec/test.ts","Test suite","","","First",""
"passed","Tue Feb 28 23:00:49 GMT 2023","Tue Feb 28 23:00:50 GMT 2023","1008","chromium","spec/test.ts","Test suite","","","Second",""
