"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 28 22:48:48 GMT 2023","Tue Feb 28 22:48:49 GMT 2023","1274","chromium","spec/test.ts","Test suite","","","Second",""
"passed","Tue Feb 28 22:48:46 GMT 2023","Tue Feb 28 22:48:48 GMT 2023","1469","chromium","spec/test.ts","Test suite","","","First",""
