"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 05 20:49:32 GMT 2023","Sun Mar 05 20:49:33 GMT 2023","1102","chromium","spec/test.ts","Authentication","","","Authenticaiton using UI",""
"passed","Sun Mar 05 20:49:33 GMT 2023","Sun Mar 05 20:49:34 GMT 2023","866","chromium","spec/test.ts","Authentication","","","Authentication using API and then continue UI test",""
