"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 05 20:27:40 GMT 2023","Sun Mar 05 20:27:42 GMT 2023","2535","chromium","spec/test.ts","Authenticaiton using UI","","","First",""
"passed","Sun Mar 05 20:27:42 GMT 2023","Sun Mar 05 20:27:44 GMT 2023","1975","chromium","spec/test.ts","Authenticaiton using UI","","","Authentication using API and then continue UI test",""
